Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_Project_6\Project Outputs for PCB_Project_6\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       03-12-24
Time:       20:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment          Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                
Jack       SJ1-3523N        TopLayer CUI_SJ1-3523N             1595.000      4380.787      180      "3.5 mm, Stereo, Right Angle, Through Hole, 3 Conductors, 0 Internal Switches, Audio Jack Connector"                       
?          TL072CP          TopLayer P0008A                    2085.000      3820.000      180      "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
JST-2      B2B-XH-A(LF)(SN) TopLayer FP-B2B-XH-A_LF_SN-MFG     5535.000      3730.788      270      "CONN HEADER VERT 2POS 2.5MM"                                                                                              
VR3        1K               TopLayer TRIM_3590S-2-103L         4855.000      4360.000      0        "10k Ohm 1 Gang Linear Panel Mount Potentiometer None 10 Kierros Wirewound 2W Solder Lug"                                  
VR2        1K               TopLayer TRIM_3590S-2-103L         4320.000      2155.000      0        "10k Ohm 1 Gang Linear Panel Mount Potentiometer None 10 Kierros Wirewound 2W Solder Lug"                                  
VR1        1K               TopLayer TRIM_3590S-2-103L         2815.000      2065.000      180      "10k Ohm 1 Gang Linear Panel Mount Potentiometer None 10 Kierros Wirewound 2W Solder Lug"                                  
R16        1000O            TopLayer FP-HVR37-MFG              5045.000      3245.000      270      "HVR3700001004FR500 Fixed Resistor, Metal Film, 0.5W, 1000000ohm, 3500V, 1% +/-Tol, 200ppm/Cel, Through Hole Mount"        
R13        1000O            TopLayer FP-HVR37-MFG              4300.000      3069.330      90       "HVR3700001004FR500 Fixed Resistor, Metal Film, 0.5W, 1000000ohm, 3500V, 1% +/-Tol, 200ppm/Cel, Through Hole Mount"        
R10        1000O            TopLayer FP-HVR37-MFG              3365.000      2705.000      0        "HVR3700001004FR500 Fixed Resistor, Metal Film, 0.5W, 1000000ohm, 3500V, 1% +/-Tol, 200ppm/Cel, Through Hole Mount"        
VR4        10K              TopLayer TRIM_3590S-2-103L         6100.000      2820.000      270      "10k Ohm 1 Gang Linear Panel Mount Potentiometer None 10 Kierros Wirewound 2W Solder Lug"                                  
R19        159.2O           TopLayer FP-3310Y-001-204L-MFG     3275.000      3780.000      180      "3310Y-001-204L Rotary Potentiometer, Conductive Plastic, 200 kOhm, 1Turn, Linear, 250 mW, ± 20%"                          
R18        159.2O           TopLayer FP-3310Y-001-204L-MFG     2455.000      2862.402      0        "3310Y-001-204L Rotary Potentiometer, Conductive Plastic, 200 kOhm, 1Turn, Linear, 250 mW, ± 20%"                          
R17        6.8k             TopLayer FP-HVR37-MFG              5315.000      3235.000      270      "HVR3700001004FR500 Fixed Resistor, Metal Film, 0.5W, 1000000ohm, 3500V, 1% +/-Tol, 200ppm/Cel, Through Hole Mount"        
